Customer_ID,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
100,19219,1840,1658,8195,349,483
101,21465,7243,10685,880,2386,2749
102,140,8847,3823,142,1062,3
103,7149,2428,699,6316,395,911
104,2101,589,314,346,70,310
105,14903,2032,2479,576,955,328
106,9434,1042,1235,436,256,396
107,7388,1882,2174,720,47,537
108,6300,1289,2591,1170,199,326
109,4625,8579,7030,4575,2447,1542
110,3087,8080,8282,661,721,36
111,13537,4257,5034,155,249,3271
112,5387,4979,3343,825,637,929
113,17623,4280,7305,2279,960,2616
114,30379,13252,5189,321,51,1450
115,10405,1596,1096,8425,399,318
116,18827,3677,1988,118,516,201
117,7769,1936,2177,926,73,520
118,9203,3373,2707,1286,1082,526
119,5924,584,542,4052,283,434
120,31812,1433,1651,800,113,1440
121,16225,1825,1765,853,170,1067
122,1289,3328,2022,531,255,1774
123,18840,1371,3135,3001,352,184
124,3463,9250,2368,779,302,1627
125,622,55,137,75,7,8
126,1989,10690,19460,233,11577,2153
127,3830,5291,14855,317,6694,3182
128,17773,1366,2474,3378,811,418
129,2861,6570,9618,930,4004,1682
130,355,7704,14682,398,8077,303
131,1725,3651,12822,824,4424,2157
132,12434,540,283,1092,3,2233
133,15177,2024,3810,2665,232,610
134,5224,7603,8584,2540,3674,238
135,15615,12653,19858,4425,7108,2379
136,4822,6721,9170,993,4973,3637
137,2926,3195,3268,405,1680,693
138,5809,735,803,1393,79,429
139,5414,717,2155,2399,69,750
140,260,8675,13430,1116,7015,323
141,955,5479,6536,333,2840,707
142,514,7677,19805,937,9836,716
143,286,1208,5241,2515,153,1442
144,2343,7845,11874,52,4196,1697
145,12759,7330,4533,1752,20,2631
146,11002,7075,4945,1152,120,395
147,3157,4888,2500,4477,273,2165
148,12356,6036,8887,402,1382,2794
149,694,8533,10518,443,6907,156
150,327,918,4710,74,334,11
151,8170,6448,1139,2181,58,247
152,3009,521,854,3470,949,727
153,2438,8002,9819,6269,3459,3
154,8040,7639,11687,2758,6839,404
155,834,11577,11522,275,4027,1856
156,16936,6250,1981,7332,118,64
157,13624,295,1381,890,43,84
158,5509,1461,2251,547,187,409
159,180,3485,20292,959,5618,666
160,7107,1012,2974,806,355,1142
161,17023,5139,5230,7888,330,1755
162,2427,7097,10391,1127,4314,1468
163,11686,2154,6824,3527,592,697
164,9670,2280,2112,520,402,347
165,3067,13240,23127,3941,9959,731
166,583,685,2216,469,954,18
167,1956,891,5226,1383,5,1328
168,1107,11711,23596,955,9265,710
169,6373,780,950,878,288,285
170,2541,4737,6089,2946,5316,120
171,1537,3748,5838,1859,3381,806
172,18567,1895,1393,1801,244,2100
173,7291,1012,2062,1291,240,1775
174,3317,6602,6861,1329,3961,1215
175,2362,6551,11364,913,5957,791
176,2806,10765,15538,1374,5828,2388
177,18044,1475,2046,2532,130,1158
178,4155,367,1390,2306,86,130
179,14755,899,1382,1765,56,749
180,5396,7503,10646,91,4167,239
181,5041,1115,2856,7496,256,375
182,2790,2527,5265,5612,788,1360
183,7274,659,1499,784,70,659
184,12680,3243,4157,660,761,786
185,20782,5921,9212,1759,2568,1553
186,4042,2204,1563,2286,263,689
187,1869,577,572,950,4762,203
188,8656,2746,2501,6845,694,980
189,11072,5989,5615,8321,955,2137
190,2344,10678,3828,1439,1566,490
191,25962,1780,3838,638,284,834
192,964,4984,3316,937,409,7
193,15603,2703,3833,4260,325,2563
194,1838,6380,2824,1218,1216,295
195,8635,820,3047,2312,415,225
196,18692,3838,593,4634,28,1215
197,7363,475,585,1112,72,216
198,24929,1801,2475,2216,412,1047
199,18226,659,2914,3752,586,578
200,11210,3576,5119,561,1682,2398
201,6202,7775,10817,1183,3143,1970
202,3062,6154,13916,230,8933,2784
203,8885,2428,1777,1777,430,610
204,13569,346,489,2077,44,659
205,15671,5279,2406,559,562,572
206,8040,3795,2070,6340,918,291
207,3191,1993,1799,1730,234,710
208,6623,1860,4740,7683,205,1693
209,29526,7961,16966,432,363,1391
210,31614,489,1495,3242,111,615
211,11092,5008,5249,453,392,373
212,8475,1931,1883,5004,3593,987
213,9193,4885,2157,327,780,548
214,7858,1110,1094,6818,49,287
215,23257,1372,1677,982,429,655
216,2153,1115,6684,4324,2894,411
217,1073,9679,15445,61,5980,1265
218,572,9763,22182,2221,4882,2563
219,20893,1222,2576,3975,737,3628
220,11908,8053,19847,1069,6374,698
221,15218,258,1138,2516,333,204
222,4720,1032,975,5500,197,56
223,2083,5007,1563,1120,147,1550
224,514,8323,6869,529,93,1040
225,36817,3045,1493,4802,210,1824
226,894,1703,1841,744,759,1153
227,680,1610,223,862,96,379
228,27901,3749,6964,4479,603,2503
229,11693,2317,2543,5845,274,1409
230,17360,6200,9694,1293,3620,1721
231,3366,2884,2431,977,167,1104
232,12238,7108,6235,1093,2328,2079
233,7149,2247,1242,1619,1226,128
234,15354,2102,2828,8366,386,1027
235,16260,594,1296,848,445,258
236,2708,2160,2642,502,965,1522
237,6022,3354,3261,2507,212,686
238,2838,3086,4329,3838,825,1060
239,3996,11103,12469,902,5952,741
240,21273,2013,6550,909,811,1854
241,7588,1897,5234,417,2208,254
242,19087,1304,3643,3045,710,898
243,8090,3199,6986,1455,3712,531
244,6758,4560,9965,934,4538,1037
245,444,879,2060,264,290,259
246,16448,6243,6360,824,2662,2005
247,5283,13316,20399,1809,8752,172
248,2886,5302,9785,364,6236,555
249,2599,3688,13829,492,10069,59
250,243,12939,8852,799,3909,211
251,6468,12867,21570,1840,7558,1543
252,17327,2374,2842,1149,351,925
253,6987,1020,3007,416,257,656
254,29635,2335,8280,3046,371,117
255,9784,925,2405,4447,183,297
256,10617,1795,7647,1483,857,1233
257,1479,14982,11924,662,3891,3508
258,7127,1375,2201,2679,83,1059
259,1182,3088,6114,978,821,1637
260,11800,2713,3558,2121,706,51
261,1774,3696,2280,514,275,834
262,9155,1897,5167,2714,228,1113
263,15881,713,3315,3703,1470,229
264,13360,944,11593,915,1679,573
265,25977,3587,2464,2369,140,1092
266,4414,1610,1431,3498,387,834
267,542,899,1664,414,88,522
268,16933,2209,3389,7849,210,1534
269,5113,1486,4583,5127,492,739
270,9790,1786,5109,3570,182,1043
271,22321,3216,1447,2208,178,2602
272,27082,6817,10790,1365,4111,2139
273,13970,1511,1330,650,146,778
274,9351,1347,2611,8170,442,868
275,2617,1188,5332,9584,573,1942
276,381,4025,9670,388,7271,1371
277,2320,5763,11238,767,5162,2158
278,255,5758,5923,349,4595,1328
279,3043,1172,1763,2234,217,379
280,1198,2602,8335,402,3843,303
281,2771,6939,15541,2693,6600,1115
282,27380,7184,12311,2809,4621,1022
283,3428,2380,2028,1341,1184,665
284,3521,1099,1997,1796,173,995
285,608,1106,1533,830,90,195
286,117,6264,21203,228,8682,1111
287,14039,7393,2548,6386,1333,2341
288,190,727,2012,245,184,127
289,22686,134,218,3157,9,548
290,37,1275,22272,137,6747,110
291,796,5878,2109,340,232,776
292,19746,2872,2006,2601,468,503
293,4734,607,864,1206,159,405
294,2121,1601,2453,560,179,712
295,4627,997,4438,191,1335,314
296,2615,873,1524,1103,514,468
297,4692,6128,8025,1619,4515,3105
298,9561,2217,1664,1173,222,447
299,3477,894,534,1457,252,342
300,22335,1196,2406,2046,101,558
301,6211,337,683,1089,41,296
302,20105,1887,1939,8164,716,790
303,15076,6257,7398,1504,1916,3113
304,6338,2256,1668,1492,311,686
305,5841,1450,1162,597,476,70
306,3136,8630,13586,5641,4666,1426
307,3225,3294,1902,282,68,1114
308,4048,5164,10391,130,813,179
309,28257,944,2146,3881,600,270
310,17770,4591,1617,9927,246,532
311,34454,7435,8469,2540,1711,2893
312,1821,1364,3450,4006,397,361
313,11635,922,1614,2583,192,1068
314,1206,3620,2857,1945,353,967
315,20918,1916,1573,1960,231,961
316,9785,848,1172,1677,200,406
317,9385,1530,1422,3019,227,684
318,3352,1181,1328,5502,311,1000
319,2647,2761,2313,907,95,1827
320,518,4180,3600,659,122,654
321,23632,6730,3842,8620,385,819
322,12377,865,3204,1398,149,452
323,9602,1316,1263,2921,841,290
324,4515,11991,9345,2644,3378,2213
325,11535,1666,1428,6838,64,743
326,11442,1032,582,5390,74,247
327,9612,577,935,1601,469,375
328,4446,906,1238,3576,153,1014
329,26539,4753,5091,220,10,340
330,25606,11006,4604,127,632,288
331,18073,4613,3444,4324,914,715
332,6884,1046,1167,2069,593,378
333,25066,5010,5026,9806,1092,960
334,7362,12844,18683,2854,7883,553
335,8257,3880,6407,1646,2730,344
336,6633,2096,4563,1389,1860,1892
337,2126,3289,3281,1535,235,4365
338,97,3605,12400,98,2970,62
339,5969,1990,3417,5679,1135,290
340,7842,6046,8552,1691,3540,1874
341,4389,10940,10908,848,6728,993
342,5065,5499,11055,364,3485,1063
343,660,8494,18622,133,6740,776
344,8861,3783,2223,633,1580,1521
345,4456,5266,13227,25,6818,1393
346,17063,4847,9053,1031,3415,1784
347,26400,1377,4172,830,948,1218
348,17565,3686,4657,1059,1803,668
349,16980,2884,12232,874,3213,249
350,13134,9347,14316,3141,5079,1894
351,3047,5970,4910,2198,850,317
352,8607,1750,3580,47,84,2501
353,3097,4230,16483,575,241,2080
354,21117,1162,4754,269,1328,395
355,1982,3218,1493,1541,356,1449
356,16731,3922,7994,688,2371,838
357,10290,1981,2232,1038,168,2125
358,2787,1698,2510,65,477,52
